Organization,abstract,address,bidders,categories,closing_date,competitionNumber,linkTo,status,title
,,,,,,,,,
"Parker, Max","1.1.	General 
1.1.1.	The following is a general description of the scope of work to complete the natural gas generator installation.  For a detailed description of the technical aspects of the work, refer to the specification sections and contract drawings. 
1.1.2.	Notify and co-ordinate with Owner, Consultant, and Occupants, whenever work will effect operation of the building. 
1.1.3.	Contractor to ensure there will be no obstruction to the fire route and must coordinate any obstructions of the bay doors with the station captain during the construction work. Onsite parking for the contractor may be limited. If required, contractor may be asked to park off site at no additional cost to the contract. 
1.1.4.	Contractor to coordinate with the city and the fire station captain regarding access during proposed works. Contractor must call into Toronto Fire Service security daily on days the contractor wishes to work onsite to be granted access. Any issues with coordination of site access will not result in additional costs to the contract. 
1.1.5.	Contractor to repair any disturbed or damaged waterproofing during installation. 
1.1.6.	Contractor to locate all underground and above ground utilities and structures within vicinity of proposed works (exterior and interior) to minimize disruption during proposed works. 
1.1.7.	Once the Contract has been awarded, construction shall be carried out in one continuing operation, unless agreed to and approved by the City and Consultant at the time of such request. 
1.1.8.	The Contractor and his/her Sub-Contractors shall assume full responsibility for their equipment and all materials required for this project and shall store them in a locked secure area at the end of each days work. No equipment or materials shall be left in an open area unprotected at the end of each days work. 
1.1.9.	It is the Contractor’s total responsibility for the overall performance and completion of the Work. Breakdown of Work by trades is for the convenience of the Contractor only. All trades are required to examine all Sections of the Drawings and Specifications. The Consultants assume no responsibility for the division of Work or for any jurisdictional involvement as a result of such divisions. 
1.1.10.	Work specified in the specification has been divided into technical sections for the purpose of ready reference. Division of work among subcontractors and suppliers is solely the contractor’s responsibility and the Contract Administrator assumes no responsibility to act as an arbitrator to establish subcontract limits between sections or divisions of work. 
1.1.11.	Prior to Tender submission examine the sites and surrounding areas and be fully informed as to the conditions and limitations under which the work has to be executed. Additional costs will not be entertained with respect to conditions which could reasonably have been ascertained by an inspection of the site prior to tender closing. 
1.1.12.	During the Contract duration, the Contractor is responsible to correct immediately, any interruption to essential services caused by his/her work whether they occur during the day or night, (business days or weekend and/or holidays). The maximum response time of two (2) hours is required. Other types of interruptions shall be corrected within 24 (twenty four) hours. Failure to respond within the specified time period shall render the Contractor responsible for payment of all changes incurred by the Owner when a third party has to be called to perform the necessary work. 
1.1.13.	Contractor to provide a 2 year full parts and labor warranty on all workmanship and equipment. 
1.1.14.	Contractor shall engage Enbridge within five business days of issuance of a Purchase Order for the natural gas station/regulator upgrades.  Project delays due to inadequate/delayed coordination with Enbridge will not be accepted.  Contractor to pay Enbridge directly for the natural gas station/regulator upgrades. Direct costs for the Enbridge upgrades will be taken from the cash allowance. 
1.1.15.	All coordination costs (Enbridge, ESA, THES, TFS, EMS, etc.) is to be included in the base bid. No coordination costs or markup will be accepted as contract extras. 
1.2.	Interpretation of Drawings and Specifications 
1.2.1.	In the event of any inconsistency or conflict in the contents of the documents, the drawings shall take precedence. 
1.2.2.	Dimensions on drawings when witnessed by lines and arrow points, shall take precedence over measurements by scale. 
1.2.3.	Larger scale drawings shall take precedence over those of smaller scale. Supplementary drawings and specifications supersede previous drawings and specifications. 
1.2.4.	Words, phrases and abbreviations that have a well-known technical or trade meaning shall have that meaning in these specifications and drawings. 
1.2.5.	In case of discrepancy between the drawings and specifications, figure dimensions on the drawings shall govern, except where the dimension depends on the dimension of a specified product in which case the dimensions of the product shall govern. 
1.2.6.	All cases of discrepancy shall be referred to the Consultant who shall make decisions in writing.  The decisions shall be consistent with the evident meaning and intention of the drawings and specifications and the above paragraphs. 
1.2.7.	The location of undimensioned fixtures, outlets, conduits, piping, etc., is shown approximate.  The Contractor shall confirm actual location(s) to suit job conditions as approved by the Consultant. 
1.2.8.	Dimensions provided on Contract Drawings and Schedules are approximate. Contractor is to verify dimensions. 
1.3.	Scope of work 
This work shall include, but not necessarily be limited to the short summary below: 
1.3.1.	Labour, material and equipment to complete work of Contract in conformity with Contract Documents and Construction Schedule. 
1.3.2.	Permits, inspections, tests, and systems verifications. Demolition, relocation, and removal of existing equipment and services to complete Work. 
1.3.3.	Delivery, receiving, inspection at time of delivery, unloading, and hoisting of materials and equipment. 
1.3.4.	Clean-up of materials and garbage on daily basis or as directed, and removal of unused equipment/materials from site. 
1.3.5.	The contractor shall install a new natural gas standby generator equipped as per the latest approved CSA standard C282 ""Emergency Electrical Power Supply for Buildings"" (battery warmer, enclosure heater, enclosure lighting, enclosure panelboard, etc…).  The electrical scope of work includes the installation of the standby generator, associated power and control equipment, and the reconnection of the existing building loads to the new generator as shown in the drawing package. 
1.3.6.	Building temporary power is not anticipated to be required by the contractor during the time of reconnection from existing power distribution system to new power distribution system (less than 4 hour outage). Contractor must provide city PM 10 business day advance notice of any power outages so that temporary power can be arranged at an additional cost if the fire chief deems it necessary to maintain operation at the fire station during the time of reconnection. 
1.3.7.	Disconnect, remove and/or relocate all existing services and/or equipment and reconnect where necessary. 
1.3.8.	All disturbed areas are to be restored to match existing conditions or better. 
1.3.9.	The contractor shall build new generator pad including bollards and/or fenced enclosure as specified in the contract drawings complete with landscaping. 
1.3.10.	The contractor shall provide and install all equipment indicated in the contract drawings. The contractor shall set up and commission all systems and provide ready to operate power distribution and standby power system capable to operate under all applicable standards and regulatory requirements. The generator equipment includes but is not limited to the following: 
•	New automatic transfer switch; 
•	New natural gas powered generator c/w weatherproof sound rated enclosure. The initial startup of the Gas Generator to be performed by the Generator Manufacturer; 
•	New monitoring and protection systems for generator operation including remote generator annunciator in captain's office; 
•	Equipment supplier to provide coordination study for new equipment complete with appropriate device settings. Contractor to coordinate with equipment supplier and is responsible for all field verifications required to complete the coordination study. 
•	New electrical service entrances, utility metering, main switchboard and electrical distribution within the main Fire Hall electrical room to supply both the Fire Hall and EMS Station c/w all required coordination with Toronto Hydro to complete installation at 900 Tapscorr Road. 
•	New self-contained electrical meter base c/w all required coordination with Toronto Hydro to complete installation at 2340 Birchmount Road. 
 
 
1.3.11.	The contractor shall supply and install updated lamacoid labels and updated panel schedules for all existing/new electrical equipment within the electrical room. 
1.3.12.	Electrical contractor to provide power and controls as required by mechanical trade. 
1.3.13.	The contractor shall provide and install complete natural gas piping system for generator from Enbridge modified gas station.  The contractor shall pay for and coordinate the installation of the Enbridge modified gas station directly with Enbridge to ensure minimal disruption to the facility. 
1.3.14.	The contractor shall supply and install fire stopping materials and penetration seals to maintain the required fire-resistance rating of existing/new walls and structures. 
1.4.	Working Hours 
1.4.1.	Normal working hours are from 7:00 a.m. to 4:00 p.m. Monday to Friday.  
1.4.2.	All noisy and/or odorous work must be completed outside of normal working hours, 
1.4.3.	Shutdown of services will not be permitted without the approval of Toronto Fire Services and must have a minimum of three (3) days' notice. Toronto Fire Services the right to stop any disruptive work and request to have this work completed at a different time at no extra cost.  
1.5.	Commencement and completion Date. 
1.5.1.	The start date of this contract is immediately upon receipt of purchase order, following the award of the contract. Award is conditional on all approvals, bonding, and insurance being in place. Continuous and progressive operation shall be carried out until the work is completed. The date of substantial performance for construction shall be 24 weeks from the date of the purchase order, and the deemed completion date shall be 26 weeks from the date of the purchase order.  
1.5.2.	The contractor shall be responsible to provide all the forces necessary to complete the scope of work within the specified period. Any delay work will be subject to penalty as per the liquidated damages clauses noted on Section 5A 
1.6.	Record Drawings and As Built Drawings: 
1.6.1.	Maintain a complete up-to-date set of record drawings and specifications on site throughout the duration of the project. 
1.6.2.	The project close out documents (including three (3) hard copies of Operation and Maintenance Manuals and CAD as-built drawings) must be submitted by the contractor and accepted by the City of Toronto Project Manager before the certificate of Substantial Performance can be issued by the consultant. 
1.7.	Reference Material 
1.7.1.	Pre-Renovation DSS Report included with Specifications. 
1.7.2.	City Policy for Construction Renovation Waste Diversion 
 
Please see document for more details
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Construction Services","March 5, 2019",31-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/C14C0098BBC42589852583900071F22B/$file/Tender 31-2019 NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/C14C0098BBC42589852583900071F22B/$file/31-2019 - Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/C14C0098BBC42589852583900071F22B/$file/31-2019 - Web Attachment 1.zip,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/C14C0098BBC42589852583900071F22B/$file/31-2019 - Web Attachment 2.zip,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/C14C0098BBC42589852583900071F22B/$file/31-2019 - Addendum No. 1.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/C14C0098BBC42589852583900071F22B/$file/31-2019 Addendum No 2.pdf",***,Construction Services
,,,,,,,,,
"Diptee, Justin","Every Bidder shall submit with their Bid a Bid Bond in the amount of 7.5% of the Bid amount and will agree to provide a Performance Bond and a Labour and Material Bond for the due and proper performance of the Work, each in the amount of 50% of the Contract amount including an extended 24 month warranty period.  
 
The Bonds will be issued by a licensed surety company authorized to transact business in the Province of Ontario and shall be maintained in good standing until the fulfilment of the Contract. 
 
The Western Beaches Tunnel (WBT) facility was constructed around the year 2000 and is located along the Toronto waterfront between Parkside Drive and Strachan Avenue. It consists of a 3m diameter and 3.6km long storage tunnel, 3 storage shafts (25m dia. by 30 to 45m deep), 6 drop shafts (1 to 2m dia.), 10 sewer interception chambers, 9 lake isolation chambers, and a pumping station with UV treatment. The WBT facility has a storage capacity of 85,000 m3 and collects and treats stormwater and combined sewer overflow (CSO) from 10 existing storm/CSO sewers.  
 
The construction services required generally entail structural modifications to 9 existing sewer interception chambers and 9 existing lake isolation chambers as well as alterations related to the facility's equipment huts, sewer interception and lake isolation systems, emergency overflow systems, health & safety systems, and staff/equipment access systems.    
 
This call document is only available for purchase and download through the City of Toronto's Online Call Document System: 
 
 . 
  
A non-refundable fee (shown above), is required for each call document.  
 
DRAWINGS AND SPECIFICATIONS 
 
The Tender Specifications and Drawings are available on CD to the bidders who have purchased the tender document. Bidders may pick up a copy of the Hard Drive from the Purchasing and Materials Management Division offices, 19th floor, West Tower, 100 Queen Street West during regular business hours (8.30 a.m. to 4.30 p.m.).  
 
Proof of Tender purchase will be required to pick-up the Hard Drive. The bidders who have not purchased the Tender document will have to do so before being given a copy of the Hard Drive. 
 
Background: 
 
SEWER CHAMBER MODIFICATIONS AND OTHER ALTERATIONS, FROM PREQUALIFIED CONTRACTORS THROUGH REQUEST TO PREQUALIFY (RTP) NO. 3907-18-7172
 
 
 
 
",City Hall 19th Floor West Tower,,"Construction Services, Sewer repair and maintenance","February 22, 2019",292-2018,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 - Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 - NOIP.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 - Addendum No. 1.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 Addendum No. 2.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 - Addendum No. 3.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 - Addendum No. 4.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 - Addendum No. 5.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 - Addendum No. 6.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 Addendum No. 7.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9963204CCE4364698525836A0068C41D/$file/292-2018 - Addendum No. 8.pdf",***,[Replication or Save Conflict]
,,,,,,,,,
"Duffley, Brenda","BID BOND:  10% of Bid Amount 
 
CONTRACT NO.  18ECS-LU-20SU 
 
NOTE: 
 
This call document is available for purchase and download online on our website. 
Please see all the attachments posted on our website. 
 
Drawings:   
 
Tender Drawings are available on CD to purchasers of the tender document.  Bidders must obtain a copy of the CD from the Tender Office of the Purchasing and Materials Management Division, 19th Floor, West Tower, City Hall, 100 Queen Street West, Toronto, during regular business hours (8:30 a.m. to 4:30 p.m.).  
Proof of Tender purchase will be required to pick-up the CD.  The vendors who have not purchased the Tender document will have to do so in order to obtain a copy of the CD.  
 
SCOPE OF WORK: 
 
West Humber River Trail - Storm Sewer Rehabilitation 
 
West Humber River Trail from Turnvale Road to the headwall 
•	In general the work to be completed includes: 
o	Rehabilitate approximately 165m of 2900x1825mm storm CSP pipe-arch due to deterioration of the existing pipe. 
Permanent restoration of all surface facilities after completion of underground work  
 
Completion Date 
This Contract, including all site restorations, clean up, and rectification of all known deficiencies, must be completed within 45 Working Days from the date of commencement of the Work. 
 
MANDATORY EXPERIENCE AND QUALIFICATIONS: 
 
The Bidder must have the following experience in order to be considered for award: 
 
The Bidder must have the following experience in order to be considered for award: 
 
1.	The Bidder shall provide 3 projects with verifiable evidence of the completion of least 500 metres total, each, of structural lining application for sewers greater than 1500mm in diameter between 2015 and 2017.  
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Sewer repair and maintenance","February 21, 2019",323-2018,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Tender 323-2018  Notice of Intended Procurement.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Tender 323-2018 - Viewing Copy.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 1 - Tender 323-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 2 - Tender 323-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 3 - Tender 323-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 4 - Tender 323-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 5 -Tender 323-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 6 - Tender 323-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 7 - Tender 323-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 8 - Tender 323-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 9 - Tender 323-2018.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/76DACB68C23DA812852583700073D303/$file/Addendum 10 - Tender 323-2018.pdf",***,Western Beaches Tunnel - Sewer chamber modifications and other alterations.
,,,,,,,,,
"Porcarelli, Michael","Supply all labour, equipment and materials to Installation of New Residential Water and Sewer Service Connections and Associated Works –  Scarborough District (Wards: 20, 21, 22, 23, 24, 25)
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Sewer repair and maintenance","March 6, 2019",Notice41-2019,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/3B45534DD2203623852583920067C78E/$file/41-2019 NOIP.pdf,***,Installation of New Residential Water and Sewer Service Connections and Associated Works – Scarborough District
,,,,,,,,,
"Porcarelli, Michael","Supply all labour, equipment and materials to Installation of New Residential Water and Sewer Service Connections and Associated Works –  North York District (North of HWY 401; Wards: 6, 17, 18)
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Sewer repair and maintenance","March 6, 2019",Notice38-2019,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/211E7AF65D7007C88525839200667722/$file/38-2019 NOIP.pdf,***,– Installation of New Residential Water and Sewer Service Connections and Associated Works
,,,,,,,,,
"Porcarelli, Michael","Supply all labour, equipment and materials to Installation of New Residential Water and Sewer Service Connections and Associated Works –  North York District (South of HWY 401; Wards: 8, 15, 16)
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Sewer repair and maintenance","March 6, 2019",Notice40-2019,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/147B25B60A0C1F418525839200675FC8/$file/40-2019 NOIP.pdf,***,Installation of New Residential Water and Sewer Service Connections and Associated Works – North York District
,,,,,,,,,
"Porcarelli, Michael","Supply all labour, equipment and materials to Installation of New Residential Water and Sewer Service Connections and Associated Works –  Toronto, East York District (Wards: 9, 10, 11, 12, 13, 14, 19)
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Sewer repair and maintenance","March 6, 2019",Notice39-2019,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/3326FAC71B5ECBE5852583920066F5D0/$file/39-2019 NOIP.pdf,***,"Installation of New Residential Water and Sewer Service Connections and Associated Works – Toronto, East York District"
,,,,,,,,,
"Hampton, Richard","Supply of all labour, material and equipment necessary to perform 'Hot-in-Place' Asphalt Patching in various City of Toronto locations, North York District and Etobicoke York District. Work under this contract will be within the following Districts and Wards: Etobicoke York District Wards 1, 2, 3, 5, and 7, as well as North York District Wards 6, 8, 15, 16, 17, and 18,   
 
Work is not limited exclusively to the above-mentioned wards, at the discretion of the Contract Administrator it may be deemed necessary to schedule work in other wards of the City of Toronto.  
The awarding of this contract is subject to funds availability and/or City of Toronto Council approval.
 
 
 
","City Hall, 18th Floor West Tower",,"Construction Services, Road - Curb - Sidewalk","February 22, 2019",Notice53-2019,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/1D0F5C9301BE9D23852583940072FEF7/$file/53-2019 notice_intended_procurement.pdf,***,‘Hot-in-Place’ Asphalt Patching at Various Locations
,,,,,,,,,
"Duffley, Brenda","BID BOND:  10% of Bid Amount 
 
CONTRACT NO.  19ECS-TI-05MR 
 
NOTE: 
 
This call document is available for purchase and download online on our website. 
Please see all the attachments posted on our website. 
 
Drawings:   
 
Tender Drawings are available on CD to purchasers of the tender document.  Bidders must obtain a copy of the CD from the Tender Office of the Purchasing and Materials Management Division, 19th Floor, West Tower, City Hall, 100 Queen Street West, Toronto, during regular business hours (8:30 a.m. to 4:30 p.m.).  
Proof of Tender purchase will be required to pick-up the CD.  The vendors who have not purchased the Tender document will have to do so in order to obtain a copy of the CD.  
 
SCOPE OF WORK: 
Repair deficient sidewalks, curb, curb & gutter, medians and roadbase; Curb re-alignment; Major road resurfacing; Decommissioning of existing 150mm Cast Iron Watermain; Transfer of existing water services and hydrants from existing 150mm cast iron watermain to existing 300mm diameter PVC watermain; and the removal and replacement of existing tee/crossing connections from the existing 150mm and 300mm watermains with filler pieces. 
Completion Date 
This Contract, including all site restorations, clean up, and rectification of all known deficiencies, must be completed by no later than September 14, 2019. 
  
MANDATORY EXPERIENCE AND QUALIFICATIONS: 
 
The Bidder must have the following experience in order to be considered for award: 
 
1.	Must have completed and must have achieved Substantial Completion within the meaning of the Construction Lien Act for at least three (3) projects within the past 5 years as General Contractor involving milling and resurfacing of existing asphalt pavement, removal and replacement of existing curb, curb and gutter and sidewalk and construction of new sidewalks, having a minimum dollar value of $2,000,000.00 Canadian Dollars each (excluding taxes). At least one of these projects must have involved staged/phased construction activities involving traffic control and traffic management on an arterial road (4 to 6 lanes). 
 
 2.  Must have completed and must have achieved Substantial Completion within the meaning of the Construction Lien Act for at least one project, within the past 3 years as General Contractor involving watermain and water services replacement, having a minimum dollar value of $500,000.00 Canadian Dollars (excluding taxes).
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Road - Curb - Sidewalk","March 6, 2019",61-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/074D84A86E2930DB8525839E00608787/$file/Tender 61-2019  Notice of Intended Procurement.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/074D84A86E2930DB8525839E00608787/$file/Tender 61-2019 Viewing Copy.pdf",***,Major Road Resurfacing on Scarlett Road 
,,,,,,,,,
"Hampton, Richard","The Contractor will be responsible for providing all the necessary resources to carry out, but not limited to, the following activities related to this project: 
The work in this contract includes the maintenance program for asphalt patching to existing asphalt surfaces on various City of Toronto streets in the North York District, as well as in the Etobicoke York District during the 2019 construction season.  
COMMENCEMENT AND COMPLETION DATE 
The Contractor will be notified of the exact start date by the issuance of a Commencement Letter by the City of Toronto. The tentative start date is May 1st, 2019.  
Work shall be initiated in the North York District, and all working lists shall be completed, including deficiencies and joint sealing, before the Contractor initiates any work within the Etobicoke District. 
If the contractor fails to commence the work on the date requested by the Contract Administrator, the City may terminate the contractor's right to continue the work and/or cancel the contract in whole. Additionally, the City reserves the right to cancel or terminate the contract at any time. 
The Contractor agrees to complete the entire work, within both Districts, comprising the contract within a time period of eighty five (85) calendar days from the date of the written order to commence work, Commencement Letter date. 
Failure to complete the work as specified will result in Clause 17 of Section 5A being applied. 
The Contractor shall complete all of the work outlined in this contract including any deficiencies, and remove equipment, signs and materials to make the locations clean and safe within the time given.  
A written Order to Commence work will follow once the contract is executed and all required documentation has been received by the City. However, in light of ongoing difficulties in obtaining timely utility locates you may wish to begin requesting locates as soon as the contract is awarded so as to avoid unnecessary delays to the work. Please note that requesting locates in advance of the order to commence work is at your own risk and the City will not be responsible for added costs incurred prior to contract execution in the event of stale locates or a failure by you to execute the contract, etc.
 
 
 
 
","City Hall, 18th Floor West Tower",,"Construction Services, Road - Curb - Sidewalk","February 22, 2019",53-2019,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/CAE82AD412A9B2FE8525839A0072F701/$file/53-2019 notice_intended_procurement.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/CAE82AD412A9B2FE8525839A0072F701/$file/53-2019 - Viewing Copy.pdf",***,"'Hot-in-Place' Asphalt Patching in various City of Toronto locations, North York District and Etobicoke York District"
,,,,,,,,,
"Porcarelli, Michael","Supply all labour, equipment and materials to Installation of New Residential Water and Sewer Service Connections and Associated Works – Etobicoke York District (Wards: 1, 2, 3, 4, 5, 7)
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Sewer repair and maintenance","March 6, 2019",Notice36-2019,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/F3728D8A2CABB3A985258392006568DD/$file/36-2019 NOIP.pdf,***,"New Residential Water and Sewer Service Connections and Associated Works – Etobicoke York District (Wards: 1,2,3,4,5,7)"
,,,,,,,,,
"Duffley, Brenda","BID BOND:  10% of Bid Amount 
CONTRACT NO.  18ECS-TI-04LR 
 
NOTE: 
 
This call document is available for purchase and download online on our website. 
Please see all the attachments posted on our website. 
 
Drawings:   
 
Tender Drawings are available on CD to purchasers of the tender document.  Bidders must obtain a copy of the CD from the Tender Office of the Purchasing and Materials Management Division, 19th Floor, West Tower, City Hall, 100 Queen Street West, Toronto, during regular business hours (8:30 a.m. to 4:30 p.m.).  
Proof of Tender purchase will be required to pick-up the CD.  The vendors who have not purchased the Tender document will have to do so in order to obtain a copy of the CD.  
 
SCOPE OF WORK: 
 
Road Reconstruction on Riverside Drive, Riverside Trail, Morningside Avenue And Replacement Of Substandard Water Services; Construction of New Sidewalk On Riverside Drive; Installation of Custom made Multi-Purpose Metal Guide Rail; Landscape Improvements including Tree Planting , Construction of Bioretention  Cell and Bioswales; and Road Resurfacing on Riverside Crescent. 
 
Completion Date 
This Contract, including all site restorations, clean up, and rectification of all known deficiencies, must be completed within 140 Working Days from the date of commencement of the Work. 
 
MANDATORY EXPERIENCE AND QUALIFICATIONS: 
 
The bidder must have the following experience in order to be considered for award: 
 
Corporate Experience 
 
1.  Must have completed a minimum of three road reconstruction projects with a minimum value of $3,500,000.00 Canadian dollars each (excluding taxes) within in the City of Toronto. 
 
2.  Must have completed a minimum of two projects involving landscape improvements, tree plantings and/or Low Impact Developments (LID) with a minimum value of $70,000.00 Canadian dollars each (excluding taxes). 
 
Personell Experience 
 
The General Contractors or Subcontractors performing LID work scope must demonstrate the following experience in order to be considered for award: 
•	The proposed project manager and site supervisor have completed two landscape and/or Low Impact Development (LID) related projects, each with a minimum value of $70,000.00 Canadian dollars (excluding taxes), that includes the successful installation, commissioning and operation of LID infrastructure within the last five years, and; 
•	The proposed project manager and site supervisor have completed the 
        Sustainable Technologies Evaluation Program course “Learn to Construct LID” or have completed an equivalent course/certification in LID construction and certification within the last five years. 
 
For the purposes of demonstrating experience in LID infrastructure installation, reference projects may include the following types of LIDs (refer to the City’s Green Streets Technical Guidelines for further information regarding the LIDs identified below): 
•	Bioretention features, include bioretention planters, bioretention curb 
        extensions/bump-outs, bioretention cells, and rainwater gardens 
•	Stormwater tree pits 
•	Stormwater tree trenches 
•	Swales, including enhanced grass swales, bioswales, and bioswales with 
        stone walls 
•	Green gutters 
•	Filter strips 
•	Underground infiltration systems, including drainage wells, perforated 
        pipe systems, soakaways, infiltration trenches, and infiltration cells 
•	Rainwater cisterns 
•	Tree planting 
•	Shrub planting
 
 
 
 
","City Hall, 19th Floor West Tower",,"Construction Services, Road - Curb - Sidewalk","February 26, 2019",Apr-19,"https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9E785A0B04D920F88525839B0071C941/$file/Tender 4-2019 -  Notice of Intended Procurement.pdf,https://wx.toronto.ca/inter/pmmd/calls.nsf/0/9E785A0B04D920F88525839B0071C941/$file/Tender 4-2019 - Viewing Copy.pdf",***,Local Road Reconstruction and Replacement of Substandard Water Services 
,,,,,,,,,
